UnfallID;UJAHR;UMONAT;Jahr-Monat;UWOCHENTAG;USTUNDE;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
8,20E+18;2020;6;2020-06;6;14;3;2;6;0;1;0;1;0;0;0;0;514071,1735;5279673,897;9,187441867;47,67030347
8,20E+18;2020;6;2020-06;1;14;3;1;6;0;0;0;1;0;0;0;0;509743,84;5281195,71;9,12983168;47,68407593
8,20E+18;2020;6;2020-06;3;15;3;0;1;0;0;1;0;0;0;0;0;513512,7114;5279423,263;9,179994888;47,66806026
8,20E+18;2020;6;2020-06;7;18;3;0;1;0;0;1;0;0;0;0;0;515092,3741;5281276,684;9,201100587;47,68470174
8,20E+18;2020;7;2020-07;5;17;3;5;2;0;0;1;1;0;0;0;0;515063,8367;5280653,292;9,200698824;47,67909335
8,20E+18;2020;6;2020-06;3;6;2;5;3;0;0;1;1;0;0;0;0;512126,732;5279911,156;9,161546697;47,67247763
8,20E+18;2020;6;2020-06;5;15;3;0;1;0;0;1;0;0;0;0;0;514552,668;5280046,83;9,193868237;47,67364833
8,20E+18;2020;6;2020-06;2;12;3;0;1;0;0;0;0;0;1;0;0;515060,7156;5280651,311;9,200657173;47,6790756
8,20E+18;2020;7;2020-07;4;20;3;3;6;0;0;0;1;0;1;0;0;510833,9566;5280586,366;9,144341757;47,67857591
8,20E+18;2020;7;2020-07;2;20;2;5;2;0;0;0;1;0;1;0;0;512124,1236;5278738,406;9,1614794;47,66192566
8,20E+18;2020;7;2020-07;2;19;3;0;1;0;0;1;0;0;0;0;0;512230,4218;5279560,154;9,16291817;47,66931748
8,20E+18;2020;7;2020-07;1;14;3;0;1;0;0;1;0;0;0;0;0;509764,5996;5285075,746;9,130195183;47,71898676
8,20E+18;2020;7;2020-07;3;14;3;0;3;0;0;1;1;0;0;0;0;513640,665;5279597,581;9,181704718;47,66962602
8,20E+18;2020;7;2020-07;7;20;3;2;6;0;0;0;1;0;0;0;0;512142,7321;5279910,037;9,161759811;47,67246726
8,20E+18;2020;7;2020-07;7;22;3;4;1;2;0;0;1;0;0;0;0;509278,0956;5283078,429;9,123665933;47,70102283
8,20E+18;2020;7;2020-07;6;13;3;1;5;0;1;1;1;0;0;0;0;512823,8323;5280640,743;9,170854531;47,67902876
8,20E+18;2020;7;2020-07;4;20;2;0;1;0;0;1;0;0;0;0;0;515517,1867;5281046,435;9,206752842;47,68261999
8,20E+18;2020;7;2020-07;2;22;3;0;1;2;0;1;0;0;0;0;0;515518,301;5281046,203;9,20676768;47,68261786
8,20E+18;2020;7;2020-07;2;13;3;2;6;0;0;0;1;0;1;0;0;513930,1887;5279593,078;9,185561244;47,66957933
8,20E+18;2020;7;2020-07;4;15;3;0;1;0;0;1;0;0;0;0;0;513142,044;5280466,161;9,175088854;47,67745154
8,20E+18;2020;7;2020-07;5;8;2;9;1;0;0;0;1;0;0;0;0;513436,7433;5282998,987;9,179093055;47,70023491
8,20E+18;2020;7;2020-07;3;11;3;0;1;0;0;1;0;0;0;0;0;508493,1844;5287218,316;9,113284746;47,73828272
8,20E+18;2020;8;2020-08;7;15;3;4;6;0;0;1;0;0;0;0;0;510168,6857;5288146,36;9,135654737;47,74660862
8,20E+18;2020;8;2020-08;6;9;3;5;3;0;0;0;1;0;0;0;0;509773,77;5281729,908;9,130242446;47,68888201
8,20E+18;2020;8;2020-08;4;12;3;2;7;0;0;0;1;0;1;0;0;512132,7125;5279918,575;9,161626572;47,67254428
8,20E+18;2020;8;2020-08;6;22;3;9;1;2;0;0;1;0;0;0;0;510256,9975;5281862,7;9,1366849;47,69006933
8,20E+18;2020;8;2020-08;1;18;2;0;1;0;0;1;0;0;0;0;0;513926,0412;5279591,184;9,185505936;47,66956239
8,20E+18;2020;8;2020-08;3;16;3;0;1;0;0;1;0;0;0;0;0;514725,5015;5280071,342;9,196171509;47,67386497
8,20E+18;2020;8;2020-08;4;17;3;0;1;0;0;1;0;0;0;0;0;508491,093;5287218,709;9,113256858;47,73828628
8,20E+18;2020;8;2020-08;5;20;3;2;2;1;0;0;1;0;0;0;0;512439,216;5280747,157;9,165733264;47,67999375
8,20E+18;2020;8;2020-08;3;2;3;0;1;2;0;1;0;0;0;0;0;514814,913;5280171,408;9,197366027;47,67476328
8,20E+18;2020;8;2020-08;6;13;2;2;2;0;0;0;1;0;0;0;0;510539,893;5287960,689;9,140602292;47,74493208
8,20E+18;2020;8;2020-08;1;11;3;5;3;0;0;0;1;0;1;0;0;512093,5603;5279983,241;9,161106797;47,67312686
8,20E+18;2020;8;2020-08;6;14;3;5;7;0;0;0;1;0;0;0;0;513546,9522;5279440,266;9,180451514;47,66821253
8,20E+18;2020;9;2020-09;3;18;3;6;6;0;0;1;0;1;0;0;0;512656,6605;5279805,07;9,168603053;47,67151295
8,20E+18;2020;9;2020-09;6;21;3;5;2;2;0;1;1;0;0;0;0;511461,1428;5280190,929;9,152687403;47,67500707
8,20E+18;2020;9;2020-09;3;18;3;0;1;0;0;1;0;0;0;0;0;514863,5908;5280248,446;9,198017137;47,67545532
